address,area,city,hotel_description,hotel_facilities,hotel_star_rating,latitude,longitude,property_name,property_type,room_facilities,state
"22, Lansdown Terrace, Beside National High School For Girls Close to Deshpriya park Crossing",Sarat Bose Road,Kolkata,"Right from its opening in 2010, Hotel Sudesh Tower has maintained a reputation for being a quality business hotel. Its classy urban aesthetics appeal to all sorts of tourists and travelers. Location: Hotel Sudesh Tower is situated in 22, Lansdown Terrace, Beside National High School For Girls Close to Deshpriya park Crossing . This place is close to Kalighat (Approx 1km) , Royal Calcutta Golf Club (Approx 4km) , St. Paul's Cathedral (Approx. 4km). Other interesting places include Howrah Bridge, Fort William, Birla Planetarium that can be explored as well.Distance from Netaji Subhash Chandra Bose International Airport: Approx. 26kmDistance from Howrah Railway Station: Approx. 13kmHotel Features: Facilities provided in this hotel are parking area, on call doctor, laundry service and Wi-Fi connection. It is equipped with all the basic amenities as well as customer specific services such as banquet halls and conference rooms. Their in-house restaurant 'Drishti' is perfect to enjoy a delectable meal anytime of the day.Room Features:For a comfortable and luxurious stay all the rooms are installed with an air conditioner. Furthermore, high tech appliances such as LCD TV's and electronic safes add quality to your staying experience.",Business Services:Business Center|Board Room|Basics:Internet|Air Conditioning|Doorman|Housekeeping|Wi-Fi on Charge|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Valet Parking|Personal Services:24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Conference suite|Front Desk|Phone Service|Hotel Amenities:24-Hour Security,3 Star hotel,22.519928,88.352745,Hotel Sudesh Tower,Hotel,Air Conditioning| Television| Internet / Broadband| Mini Bar| Safe| Telephone | Wi-Fi Access on Charge | Private Bathroom | Intercom Flat Screen Television Satellite Television | Tea / Coffee maker,WestBengal
The Pavilionn Hotel 392 E Assembly Road Shahupuri Near Basant Bahar Theatre Kolhapur,New Shahupuri/Station Road,Kolhapur,"Hotel The Pavillion is located in the heart of Kolhapur. Guests are lured by its lush green lawns and serene atmosphere. Portuguese style architecture provides comfort and tranquillity to the leisure tourists and the businessman alike. The hotel offers ultimate comfort and personalized services at very reasonable rates. Location: The Pavillion Hotel is located at Assembly road, Shahupuri. The hotel enjoys proximity to many famous places of attractions like Gold Museum (approx. 2km) and Shri Mahalakshmi Mandir (approx. 3km).Kolhapur is famous for its footwear and jewellery. The city is home to a number of temples, forts and historical places of significance. Other interesting destinations that can be explored during the stay are Ichalkaranji, Kagal and Gaganbavada.Distance from Kolhapur Railway Station: Approx. 0.5kmsDistance from Belgaum Airport: Approx. 122kmsHotel Features: Hotel The Pavillion offers contemporary amenities for a pleasant stay for the guests. It provides facilities like internet, 24-hour front desk, 24 hour room service, parking, travel desk and 24-hour security. It has a facility for conference equipments for the business guests. Guests can avail of the lush green lawn for wedding receptions, get together, dinner parties and birthday functions. It also provides car rental facility on request. The in-house restaurant serves various culinary delights with authentic Kolhapuri cuisine and a well stocked bar offers an exclusive collection of alcoholic beverages to enhance the spirit. Rooms: The hotel offers deluxe A/c deluxe rooms, non A/c deluxe rooms, A/c executive rooms and A/c suite rooms as accommodation options. These rooms with light colours are tastefully furnished and ensures a cosy stay for the guests. The rooms are equipped with basic facilities including colour television, internet access and telephone.Bangladesi and Chinese Nationality not allowed for stay at the hotel other foregieners allowed with valid documentation essentially required",Food &amp; Beverage:Bar|Restaurant|Basics:Internet|Doorman|Housekeeping|Wi-Fi on Charge|Banquet Facility|Travel:Travel Desk|Parking|Car Rental|Personal Services:24 Hour Front Desk|Laundry|Room Service|No Category:Conference facilities|Business services|Conference suite|Front Desk|Wedding Service|Hotel Amenities:24-Hour Security|Business Services:Conference Hall,3 Star hotel,16.704435,74.235042,The Pavilionn Hotel,Hotel,Telephone | Television | Private Bathroom | Ceiling Fan | Satellite Television,Maharashtra
"Near Kolhapur Railway Station, Shahupuri, Kolhapur",New Shahupuri/Station Road,Kolhapur,"Hotel Kolhapur Residency, Kolhapur, offers comfortable accommodations and range of amenities to beckon the guests for a pleasant stay. Elegantly designed, all the rooms are beautifully complimented by its modern amenities and warm ambience. Round-the clock-services allow the guests to unburden their worries and render an absolute satisfaction. Location: Hotel Kolhapur Residency is located near Kolhapur Railway station, Shahupuri. Mahalaxmi temple (Approx. 3km) and Rankala Lake (Approx. 4km) is at a proximate distance from the hotel. Built to honour Goddess Mahalaxmi, the temple has a main hall and five towers. The statue of the temple is beautifully decorated with diamonds and stones. Jyotiba temple, The Kopeshwar temple and Bhavani Mandap are other distant places of attractions worth-exploring in Kolhapur.Distance from Kolhapur Airport: 10 km (approx.)Distance from Kolhapur Railway Station: 0.5 km (approx.)Hotel Features: Guests are assured of a relaxed stay thanks to the provision of essential amenities. The various amenities found in the hotel are room service, laundry and parking. To elevate the comfort level, the hotel also provides 24-hour front desk and 24-hour security.Rooms: A/c room and non A/c room are two different accommodations offered to the guests. Rooms speak of comfort, warmth and elegance. Well-furnished and cosy, the interiors have a unique charming appeal. Each room is equipped with amenities like air conditioning, satellite TV and telephone.",Personal Services:24 Hour Front Desk|Laundry|Room Service|Travel:Parking|Free Parking|Hotel Amenities:24-Hour Security|Basics:Doorman|Housekeeping|No Category:Front Desk,1 Star hotel,16.703286,74.237467,Hotel Kolhapur Residency,Hotel,Air Conditioning| Television | Telephone | Satellite Television | Private Bathroom,Maharashtra
"198, E Tararani Chowk, Kawalanaka, Kolhapur",New Shahupuri/Station Road,Kolhapur,"Hotel Ayodhya, Kolhapur features world class services and conventional hospitality. The beauty and sophistication of the hotel lie in its gorgeous interiors. It has pleasant architecture with splendid reception area which catches the eyes of the guests. This property has chic contemporary accommodation which value ones need for comfort and convenience. The astonishing conference and banquet hall are the most appealing features for all the travellers. LocationThis hotel is situated in the heart of the city at Kawalanaka, Kolhapur. They have some sightseeing places in the vicinity of the hotel. They are Kawla Naka (1.1 km), Kolhapur Art Gallery (2 km), Shri Mahalakshmi Mandir (5.4 km), Dream World Water Park (3.3 km), Siddhagiri Museum (15.9 km), Kolhapur Gate (3.2 km), Khardekar Museum (7.4 km), Ujlai Devi Temple (8.7 km), jai shankar ashram jhulelal Mandir (5.7 km), Shri. Mahalxmi Temple (3.5 km), Chandrakant Mandare Art Gallery (2 km), New Palace (2.5 km), Shivaji University (3 km), Bhavani Mandap (3.5 km), Rankala Choupati (4.5 km), MIDC Gokulshirgaon (9 km), MIDC Shiroli (10 km), Shri Jotiba Hill-Temple (17 km), Kaneri Math (17 km), Ramling Hill-Temple (20 km), Bahubali Temple (22 km), Panhala Fort (23 km), Wamanagar (30 km), Shrikshetra Narsinhwadi (50 km) and Shrikshetra Audumber (55 km).Kolhapur Airport - 10.6 km (Approx.)Kolhapur Railway Station - 2.3 km (Approx.)Kolhapur Central Bus Stand - 1.8 km (Approx.)FacilitiesHotel Ayodhya offers startling range of amenities which include restaurant, bar conference hall and banquet hall. Guests can satisfy their taste buds at the family restaurant named Shabari & Mithila that serves traditional and authentic Kolhapuri cuisines. The exclusive bar area with the name Texas is featured to offer fine drinks in cozy ambience. The aesthetically designed hall is available to host social gatherings and business seminars. Additional amenities include reception area, car parking facility, doctor on call, and credit card acceptability. RoomsHotel provides 38 pleasant rooms in four categories, A/C Deluxe Rooms, A/C Standard Rooms, Deluxe Rooms and Standard Rooms. The rooms are well decorated and promise the guests a comfortable stay. They are equipped with colour television and private bathroom with hot and cold running water.",Food &amp; Beverage:Bar|Restaurant|Basics:Internet|Air Conditioning|Wi-Fi on Charge|Doctor on Call|Travel:Travel Desk|Parking|No Category:Conference facilities|Front Desk|Personal Services:Laundry|Room Service|Hotel Amenities:Concierge|Business Services:Conference Hall,2 Star hotel,16.70725672,74.24850628,Hotel Ayodhya,Hotel,Air Conditioning| Telephone | Television | Private Bathroom | Mirror,Maharashtra
"Kalady Road, Angamaly",Cochin International Airport,Kochi,"Hotel Rukmini, Angamaly indeed has become the most ideal point for food and stay. Both domestic and foreign tourists compliment the fine ambience and aesthetics of the restaurant and rooms. This hygienically cleaned property displays the homely environment that makes the guests feel comfortable and relaxed. LocationSituated at the prime location of Angamaly city, it offers several tourist spots within the close vicinity. They are Paradesi 45 km (approx.), Jawaharlal Nehru International Stadium 28 km (approx.), Veegaland 27 km (approx.), St. Francis Church 47 km (approx.), Cherai 28 km (approx.), Santa Cruz basilica 47 km (approx.) and Indo-Portuguese Museum 46 km (approx.).Cochin International Airport 6 km (approx.)Angamaly Junction Railway Station 3 km (approx.),FacilitiesThe hotel offers impeccable services like conference and banquet hall, restaurant, travel desk and 24 hour room service. A spacious and presentable AC and Non AC conference and banquet hall is ready with all prominent amenities. The restaurant offers an exciting range of dining options to the guests. Get valuable travel package from travel desk that really makes every visitors trip more exciting. RoomsThe hotel features 26 well-appointed guest rooms that are divided into 7 segments, Standard AC, Standard Non AC, Economy Non AC, Deluxe AC 3 Bed, Deluxe Non AC 3 Bed, Economy Non AC 4 Bed and Suite. Each room includes cable TV and safe deposit locker. Room service is among the conveniences offered.",Food &amp; Beverage:Restaurant|Travel:Travel Desk|Personal Services:24 Hour Front Desk|Laundry|Basics:Air Conditioning|Lift|Express Check-Out|Banquet Facility|Doctor on Call|No Category:Conference facilities,2 Star hotel,10.1921512,76.3879063,Hotel Rukmini - Airport Hotel,Hotel,Air Conditioning | Television | Private Bathroom,Kerala
"Jammu Road, Highway, Katra",Jammu Katra Highway,Katra,"Maa Trinayani Palace is a newly renovated deluxe property in foot hills of Maa Vaishno Devi, Katra. The hotel is located in the heart of Holy Town, close to main shine board office. A unique concept that provides facilities to meet the key needs of todays traveler, with personalized attention at surprising affordable rates.Following are some of the features:24 hrs Hot & Cold Water Running | 24hrs Front Desk | Cab FacilitiesHotel Near Shine Board & Helipad | Pure Vegetarian Restaurant | LiftCar Parking & Laundry Facilities | Doctor on Call | Fully Equipped Travel Desk",Basics:Internet|Air Conditioning|Doctor on Call|24 Hour Power Supply|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Personal Services:Laundry|Room Service,3 Star hotel,32.98077884,74.9176725,Hotel Maa Trinayani Palace,Hotel,Air Conditioning| Television| Internet / Broadband | Telephone | Toiletries Mirror Hangers | In-Room Menu | Private Bathroom,JammuandKashmir
Opp. Cochin Shipyard MG Road,MG Road,Kochi,"LocationPlanning a trip to Kochi and wondering about your accommodation? Book your room at OYO Rooms MG Road Cochin Shipyard and experience a treat of luxury in an affordable price. The hotel is located 32.5 km away from Cochin International Airport and 2.1 km from Ernakulam Junction (South) Railway Station. The nearest bus stop to this property is Thevera Bus Stop (750 m). If travelling to the city's famous landmarks is in your itinerary, you must not miss visiting the famous Marine Drive (4.6 km), Mangalavanam Bird Sanctuary (5.3 km) and Fort Kochi (10.8 km). There are lots of shopping places that you can select from; Central Square Mall (3.2 km) and Bay Pride Mall (3.8 km). Fast food lovers can dine at the nearby restaurants like Regency Eat n Pack (750 m), Maria Restaurant (1.8 km) and Red Sauce (1.9 km). In case of medical emergencies the nearest hospital Medical Trust Hospital is 1 km away.How to reachWhile arriving at the hotel you can use the local cabs or auto. You can also commute to any part of the city using these two mode of travelling.RoomsAll the rooms are beautifully designed with wooden flooring to provide you with total comfort along with all the modern facilities. Comfortable beds with clean linen will definitely impress you! All the rooms are air conditioned with a flat screen LCD TV, an intercom for a prompt service, a work table for your business related work, a mini fridge and a closet for your personal belongings. Hair dryer and an iron can also be availed one demand. Attached bathrooms have hot water supply along with bath tubs (in few rooms) and complimentary toiletries for your convenience.FacilitiesJust like all OYOs across the country, one can enjoy complimentary breakfast and high speed internet during their stay here. This property has a banquet hall for social gathering, conference hall and a business meeting room for official purposes. The hotel offers facilities like power backup, fire safety, first aid, laundry/dry cleaning service, 24 hour front desk, lift for easy movements and a cloak room. The hotel also provides round the clock security, ample parking space, smoke detector and wake up service. Other facilities include card payment, in-house restaurant & bar and tours or ticketing assistance for further travel. Keeping in mind the comfort of our specially-abled guests, wheelchair and ramp services are also provided. International guests are welcomed to stay with us.",Basics:Internet|Air Conditioning|Complimentary Wi-Fi access|Personal Services:24 Hour Front Desk|24 Hour Room Service|Room Service|Travel:Free Parking,3 Star hotel,9.956291,76.291858,OYO Rooms MG Road Cochin Shipyard,,Air Conditioning | Television | Tea / Coffee maker | Free Wi-Fi | Private Bathroom,Kerala
"Jain Temple Road, Near Gol Market",,Khajuraho,The guest rooms of OYO Rooms Near Western Temple Khajuraho are well maintained with charming interiors. Guests can relish delicious meals at the in-house restaurant. They can visit nearby places of interest such as Western Temple and Javari Temple.,Basics:Housekeeping|24 Hour Power Supply|Air Conditioning|Internet|Complimentary Wi-Fi access|Doorman|Banquet Facility|Food &amp; Beverage:Restaurant|Personal Services:Currency Exchange|24 Hour Front Desk|Room Service|Laundry|Dry Cleaning|Travel:Parking|Hotel Amenities:24-Hour Security|Business Services:Conference Hall|Meeting Room|Fax|Photocopy|Recreation:Garden,3 Star hotel,24.850342,79.9238579,OYO Rooms Near Western Temple Khajuraho,,Air Conditioning| Television| Iron| Room Heater| Wardrobe| Linen Available | Microwave | Hair Dryer Refrigerator Toiletries Intercom Flat Screen Television | Wake-Up Call Service,MadhyaPradesh
"33,Janak Road, Behind Lake Mall",Kalighat-Southern Avenue,Kolkata,The rooms here are spacious and well-ventilated for a memorable stay away from home. This property is known for heart-winning hospitality and quick room service.,Basics:Internet|Air Conditioning|Lift|Complimentary Wi-Fi access|24 Hour Power Supply|Food &amp; Beverage:Restaurant|Coffee Shop|Personal Services:24 Hour Front Desk|24 Hour Room Service|Room Service|Laundry|Dry Cleaning|Travel:Parking|Free Parking|Hotel Amenities:24-Hour Security,3 Star hotel,22.5142344,88.3473261,OYO Rooms Kalighat Temple,,Writing Desk / Study Table| Private Bathroom | Luggage Rack | Air Conditioning Television Internet / Broadband | Hot Water | Toiletries Intercom Flat Screen Television Satellite Television | Wake-Up Call Service,WestBengal
Near Cochin International Aiport,Cochin International Airport,Kochi,"Eastend Suites-Airport Terminal Hotel, Kochi, has an elegant decor along with a warm ambience to make the guests feel comfortable and relaxed. Round-the clock-service provided by a courteous staff is sure to appease the guests. Trendy interiors and bright wall colours make the hotel unique and attractive.Location:Eastend Suites-Airport Terminal Hotel is located at Kochi. Important religious shrines are located nearby. One is Subramanya Swamy Temple (Approx. 6km) and the other is Nedumbassery Juma'a Masjid (Approx. 0.5km). Guests can also visit Hill Palace museum, Chottanikkara temple and Shiva temple. Formerly a palace, the Hill Palace was later converted to a museum in 1980 by the Department of Archaeology. The museum showcases 14 categories of exhibits and is the largest archaeological museum in Kerala. Distance from Cochin International Airport: 0.1 km (approx.)Distance from Ernakulam Junction South Railway Station: 40 km (approx.)Hotel Features:Eastend Suites-Airport Terminal Hotel offers an array of delightful facilities. Basic amenities include room service, 24-hour front desk and 24-hour security. Furthermore, each room is complemented by its rich amenities and warm ambience. The warm hospitality and impeccable service rendered by the staff ensure a hassle-free stay. Rooms:Standard room, deluxe room, suite room and family room are the four types of accommodation offered to the guests. Each room is tastefully furnished and is quite spacious that exude warmth and cosiness. All the rooms are well-equipped with modern amenities to provide utmost comfort.",Basics:Internet|Air Conditioning|Lift|Doorman|Express Check-In|Express Check-Out|Housekeeping|Doctor on Call|Travel:Travel Desk|Parking|Free Parking|Transportation Service|Personal Services:24 Hour Front Desk|Room Service|Hotel Amenities:24-Hour Security|No Category:Free Newspaper|Front Desk|Phone Service,3 Star hotel,10.1517834,76.392958,Eastend Suites-Airport Terminal Hotel,Hotel,,Kerala
"Kurinji Temple Road, Naidupuram",Naidupuram,Kodaikanal,"Parvathi Cottage is an ideal choice in Kodaikanal for travellers. Striking a balance between nature lovers and modern day essentials, the home is the perfect rejuvenation centre that pampers guests with friendly hospitality.",Personal Services:24 Hour Front Desk|Travel:Parking|Free Parking|Basics:Non-Smoking Rooms|Express Check-In|Express Check-Out|Housekeeping|Hotel Amenities:24-Hour Security|Catering Service,2 Star hotel,10.248705,77.492095,Parvathi Cottage,,Linen Available | Mirror Marble Floor Rollaway Bed | Table Lamp | Private Bathroom | Writing Desk / Study Table,TamilNadu
"Plot No. BH 123, Sector- 2 Saltlake",Salt Lake Sector 2,Kolkata,"One can enjoy a relaxing stay at OYO Apartments Salt Lake BH Block, thanks to its tastefully-designed rooms, contemporary amenities and personalised services. It also offers easy access to the famous tourist hotspots located in Kolkata.",Food &amp; Beverage:Bar|Restaurant|Basics:Internet|Air Conditioning|Lift|Adjoining Rooms|Doorman|Housekeeping|Complimentary Wi-Fi access|24 Hour Power Supply|Travel:Travel Desk|Parking|Free Parking|Personal Services:24 Hour Front Desk|Laundry|Room Service|Dry Cleaning|Recreation:Gym|Outdoor Swimming Pool|Hotel Amenities:24-Hour Security|Business Services:Fax|Photocopy,3 Star hotel,22.595239,88.423935,OYO Apartments Salt Lake BH Block,,Air Conditioning| Television| Internet / Broadband| Iron| Telephone| Room Heater| Linen Available | Hot Water | Newspaper Ceiling Fan Toiletries Intercom Flat Screen Television Mirror Hangers In-Room Menu | Wake-Up Call Service | Private Bathroom | Writing Desk / Study Table,WestBengal
"1,2,3 Old Court House Street, Dalhousie Square",Esplanade-New market,Kolkata,"The City of Joy is a melting pot that guests staying at The Lalit Great Eastern Kolkata can enjoy at ease. Experience the polite service at the in-house restaurant, the bar, and the banquet hall, before retiring to rooms with elegant interiors.",Food &amp; Beverage:Bar|Restaurant|Coffee Shop|Lounge|Patisserie Shop|Business Services:Business Center|Audio Visual Equipment|LCD / Projector|Meeting Facility|Board Room|Conference Hall|Meeting Room|Fax|Photocopy|Basics:Internet|Air Conditioning|Lift|Facility for Disabled Guest|Non-Smoking Rooms|Adjoining Rooms|Interconnecting Rooms|Doorman|Express Check-In|Express Check-Out|Female Traveler Room|Housekeeping|Wi-Fi on Charge|Banquet Facility|Doctor on Call|Recreation:Kids Pool|Gym|Nightclub|Spa|Beauty Salon|Indoor Games|Health Club|Outdoor Swimming Pool|Sauna|Steam Bath|Travel:Travel Desk|Airport Transfer|Parking|Free Parking|Indoor Parking|Porter|Transportation Service|Valet Parking|Car Rental|Personal Services:24 Hour Front Desk|24 Hour Room Service|Babysitting|Laundry|Room Service|Currency Exchange|Dry Cleaning|Butler Service|No Category:Business services|Free Newspaper|Front Desk|Guest Laundromat|Hairdryers|Phone Service|Hotel Amenities:24-Hour Security|Concierge|Courtyard|Gift Shop,5 Star hotel,22.568417,88.34976,The Lalit Great Eastern Kolkata,,Air Conditioning| Television| Internet / Broadband| Iron| Mini Bar| Safe| Telephone| Ironing Board | Wi-Fi Access on Charge | Flat Screen Television Hangers In-Room Menu In-Room Electronic Safe Laundry Bag Parallel Phone Line in Bathroom Rollaway Bed Satellite Television Hair Dryer Newspaper Bathrobe Bedside Lamp Music System Mineral Water Toiletries Shower Tea / Coffee maker Temperature Control Turn Down Service Weighing Machine Bedside Controls Wake-Up Call Service | Guest Slippers | Private Bathroom Balcony / Sit Out Area Luggage Rack Sofa | Writing Desk / Study Table,WestBengal
Pattimattom,Perumbavoor,Kochi,Have a comfortable staying experience in hotel that provide pleasant living surroundings and rich class of service.,Travel:Travel Desk|Parking|Bus Parking|Free Parking|Porter|Transportation Service|Taxi Service|Personal Services:24 Hour Front Desk|Room Service|Basics:Air Conditioning|Non-Smoking Rooms|Adjoining Rooms|Doorman|Express Check-In|Express Check-Out|Housekeeping|Complimentary Wi-Fi access|Doctor on Call,2 Star hotel,10.022701,76.448343,Silver Steps Service Appartments,,Television | Bedside Lamp Toiletries Mirror Hangers Satellite Television Temperature Control Windows Open Free Wi-Fi | Bedside Controls | Private Bathroom | Luggage Rack,Kerala
"Vikas Valley, Near PWD Rest House, S.V. Road, Khandala,Pune.",New PWD resthouse,Khandala,Velvett Country features rooms with balconies that offer an alluring view of the mesmerising surrounds. Guests can enjoy a brisk workout session at the well-equipped gym or a refreshing swim at the pool.,Business Services:Business Center|Audio Visual Equipment|LCD / Projector|Meeting Facility|Conference Hall|Basics:Internet|Air Conditioning|Doorman|Housekeeping|Wi-Fi on Charge|Banquet Facility|Food &amp; Beverage:Restaurant|Recreation:Kids Pool|Gym|Indoor Games|Outdoor Swimming Pool|Outdoor Games|Tennis Court|Travel:Travel Desk|Parking|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Business services|Conference suite|Front Desk|Wedding Service|Hotel Amenities:24-Hour Security,3 Star hotel,18.754633,73.367681,Velvett Country,,Air Conditioning| Television| Internet / Broadband| Mini Bar| Safe | Telephone | Bedside Lamp Ceiling Fan Intercom Mirror Hangers In-Room Menu In-Room Electronic Safe Marble Floor Satellite Television Table Lamp Tea / Coffee maker Temperature Control | Windows Open | Private Bathroom Balcony / Sit Out Area Luggage Rack | Writing Desk / Study Table,Maharashtra
"CK 124, CK Block, Sector 2 Saltlake",Salt Lake Sector 2,Kolkata,"Travel-weary guests are treated with warm hospitality at the OYO Apartment Salt Lake CK Block Tank 9 in Kolkata. It offers spick and span rooms with a homely atmosphere, essential amenities and a well-appointed in-house restaurant.",Basics:Internet|Air Conditioning|Doorman|Housekeeping|24 Hour Power Supply|Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|Laundry|Room Service|Dry Cleaning|Travel:Parking|Hotel Amenities:24-Hour Security|Business Services:Fax|Photocopy,3 Star hotel,22.586588,88.425207,OYO Apartment Salt Lake CK Block Tank 9,,Air Conditioning| Television| Iron| Linen Available | Hot Water | Toiletries Intercom Flat Screen Television | Wake-Up Call Service | Private Bathroom | Writing Desk / Study Table,WestBengal
"Club Road, Near Collectors Residence, Ernakulam",MG Road,Kochi,"Centrally located in Kochi, Time Square Hotel in Kochi with its contemporary decor, warm ambience and essential amenities, strives to offer sheer comfort to the guests. Provision of conference hall makes it ideal among business travellers.",Business Services:Business Center|Audio Visual Equipment|LCD / Projector|Meeting Facility|Conference Hall|Basics:Internet|Air Conditioning|Lift|Non-Smoking Rooms|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Coffee Shop|Lounge|Travel:Travel Desk|Parking|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Business services|Phone Service|Wedding Service|Hotel Amenities:24-Hour Security|Catering Service,3 Star hotel,9.970198,76.284084,Time Square Hotel,Hotel,Air Conditioning| Television| Internet / Broadband| Telephone | Hot Water | Intercom In-Room Menu Laundry Bag | Satellite Television | Private Bathroom | Luggage Rack,Kerala
"RGM - AS/464, Main Arterial Road, New Town",Airport Zone,Kolkata,"Pipal Tree Hotel, Kolkata, combines the old world charm with contemporary amenities to create a memorable stay for leisure or business travellers.",Food &amp; Beverage:Bar|Restaurant|Coffee Shop|Lounge|Business Services:Business Center|Audio Visual Equipment|LCD / Projector|Printer|Fax|Photocopy|Basics:Internet|Air Conditioning|Lift|Doorman|Express Check-In|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Library|Doctor on Call|Travel:Travel Desk|Airport Transfer|Parking|Valet Parking|Car Rental|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Currency Exchange|No Category:Business services|Cocktail Lounge|Front Desk|Lift|Hotel Amenities:24-Hour Security|Concierge|Flower Shop|Gift Shop|Recreation:Indoor Games,3 Star hotel,22.62207,88.44564,Pipal Tree Hotel,Hotel,Air Conditioning| Television| Internet / Broadband| Iron| Mini Bar| Safe| Telephone | Ironing Board | Hair Dryer Newspaper Bathrobe Ceiling Fan Mineral Water Toiletries Intercom CD / DVD Player In-Room Menu Satellite Television Guest Slippers Tea / Coffee maker Temperature Control | Free Wi-Fi | Private Bathroom,WestBengal
Fort Cochin Main Road,Fort Kochi,Kochi,"Hotel Abad Fort Cochin welcomes its guests with style and luxury. It is well-connected and offers easy access to any part of Cochin. The contemporary, vibrant interiors and the comfortable ambience provide a unique experience and a relaxing stay. A convenient option, Hotel Abad Fort Cochin is definitely the place to be.Location:This hotel is located on Fort Cochin Main Road. Mar Sleeva Church (Approx. 1km) and Jain Temple (Approx. 2km) are proximate to the hotel. Guests can visit numerous other destinations like the St. Francis Church where Vasco da Gama was buried before he was moved to Lisbon or the Palliport Fort which is one of the oldest surviving European fort in India.Distance from Cochin International Airport: Approx. 41kmDistance from Ernakulam Junction Railway station: Approx. 9kmHotel Features: Hotel Abad Fort Cochin features contemporary architecture and a cosy atmosphere. The hotel provides guests with basic and enhanced facilities. Internet, non-smoking rooms, concierge, dry cleaning/laundry, transportation, wake-up service, doctor on call, parking, travel desk and 24-hour security are some of the basic facilities. Guests can arrange for various personal events with the catering services, wedding services and banqueting facilities. This hotel provides a range of conveniences to business travellers like business centre, conference facilities, audio visual equipment, LCD/projector, meeting facilities, conference equipments and meeting rooms. Health conscious guests need not worry about missing their work-outs as this hotel has a well-equipped gymnasium and health club. For rejuvenation guests can avail body treatments and massages provided at the Ayurveda spa, Revival. Canopy the in-house coffee shop is perfect to enjoy ice creams, pastries and snacks such as dosas, vadas, idlis to burger, pizzas, sandwiches and lip-smacking chats. The hotel has a restaurant which serves multi-cuisine delicacies to its patrons.Rooms: This hotel provides guests with deluxe rooms, suites and standard rooms. Designed to provide ample comfort, these rooms feature a relaxing ambience and plush interiors. Air conditioning, colour television, internet access, mini bar, refrigerator, safe, telephone with direct dialling, express laundry service and in-room menu are the amenities in each room.",Business Services:Business Center|Audio Visual Equipment|LCD / Projector|Meeting Facility|Conference Hall|Basics:Internet|Air Conditioning|Lift|Non-Smoking Rooms|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Coffee Shop|Recreation:Kids Pool|Gym|Health Club|Massage Centre|Travel:Travel Desk|Parking|Transportation Service|Personal Services:24 Hour Front Desk|Laundry|Room Service|No Category:Conference facilities|Business services|Body Treatments|Phone Service|Wedding Service|Hotel Amenities:24-Hour Security|Catering Service|Concierge|Basic Room Amenities:Wake-Up Call Service,3 Star hotel,9.945172,76.258035,Hotel Abad Fort Cochin,Hotel,Air Conditioning| Television| Internet / Broadband| Mini Bar| Safe| Telephone | Wi-Fi Access on Charge | Newspaper Refrigerator Toiletries Intercom Express Laundry Service In-Room Menu Laundry Bag | Satellite Television | Private Bathroom | Luggage Rack,Kerala
"Kochpukur, PO: Hatgachia",New Town - Rajarhat,Kolkata,"Aquatica Water Park is 5 km from Sector V Station,6.9 km from National Council of Sciences Museums, In-house multi-cuisine restaurants and 2 conference halls Aquatica Water Theme Park & Resort, a 2-star property features comfortable and well-furnished rooms fitted with conveniences such as air-conditioner, cable television, mini-bar, sofa unit, safe deposit box (on request) and attached bathrooms. The hotel is in close proximity to Eden Gardens (20 km), Howarh Bridge (15.2 km), Akashvani Bhawan (18 km), IIM Calcutta (29 km) and Netaji Subhash Chandra Bose International Airport (13.4 km) and offers facilities such as conference hall, room service upto 9 PM, airport transfers, bonfire on request and parking facility. The resort houses 2 food outlets serving both vegetarian and non-vegetarian cuisines. Fresh beverages and snacks are offered at the in-house coffee shop. Do not miss out on water games and rides held at the in-house water park",Basics:Air Conditioning|Internet|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Personal Services:Room Service|No Category:Business services|Hotel Amenities:24-Hour Security,1 Star hotel,22.562289,88.46491183,Aquatica Water Park,,Air Conditioning | Television | Toiletries | Marble Floor,WestBengal
